candidate,features,probe,population,rep,entries,fs_list_dir_ns,fold_ns,next_id,peak_rss_kb,wall_s,status
C0,none,blockid-probe,1000,1,1000,870796,32913781,1000,5672,0.0365,0
C0,none,blockid-probe,1000,2,1000,930967,33441391,1000,5668,0.0371,0
C0,none,blockid-probe,1000,3,1000,741763,33772277,1000,5704,0.0371,0
C0,none,listonly-probe,1000,1,1000,0,18814838,,5704,0.0207,0
C0,none,listonly-probe,1000,2,1000,0,19189134,,5684,0.0209,0
C0,none,listonly-probe,1000,3,1000,0,18861759,,5632,0.0205,0
C0,none,resolve-fe-probe,1000,1,1000,935886,1166912,1000,5704,0.0045,0
C0,none,resolve-fe-probe,1000,2,1000,833435,1207421,1000,5664,0.0046,0
C0,none,resolve-fe-probe,1000,3,1000,739904,1292712,1000,5704,0.0045,0
C0,none,nullloop-probe,1000,1,1000,0,523479,,5644,0.0022,0
C0,none,nullloop-probe,1000,2,1000,0,724894,,5644,0.0026,0
C0,none,nullloop-probe,1000,3,1000,0,644741,,5700,0.0025,0
C0,none,blockid-probe,10000,1,10000,8589182,3509603504,10000,5684,3.5294,0
C0,none,blockid-probe,10000,2,10000,8599762,3487558553,10000,5704,3.5072,0
C0,none,blockid-probe,10000,3,10000,8301517,3423994467,10000,5680,3.4430,0
C0,none,listonly-probe,10000,1,10000,0,1879674615,,5704,1.8817,0
C0,none,listonly-probe,10000,2,10000,0,1905471481,,5632,1.9072,0
C0,none,listonly-probe,10000,3,10000,0,1876782680,,5680,1.8786,0
C0,none,resolve-fe-probe,10000,1,10000,8766384,13071530,10000,5624,0.0327,0
C0,none,resolve-fe-probe,10000,2,10000,8701163,13610549,10000,5636,0.0327,0
C0,none,resolve-fe-probe,10000,3,10000,8597701,14265211,10000,5704,0.0338,0
C0,none,nullloop-probe,10000,1,10000,0,5468226,,5684,0.0072,0
C0,none,nullloop-probe,10000,2,10000,0,5463966,,5704,0.0070,0
C0,none,nullloop-probe,10000,3,10000,0,5773302,,5708,0.0074,0
C0,none,blockid-probe,100000,1,100000,95249559,369242039817,100000,26380,369.4417,0
C0,none,listonly-probe,100000,1,100000,0,195607612785,,15028,195.6103,0
C0,none,resolve-fe-probe,100000,1,100000,96049240,138868306,100000,20292,0.3386,0
C0,none,nullloop-probe,100000,1,100000,0,54992529,,5644,0.0567,0
C1,listshare,blockid-probe,1000,1,1000,928142,1698242,1000,5704,0.0054,0
C1,listshare,blockid-probe,1000,2,1000,757860,1826823,1000,5644,0.0052,0
C1,listshare,blockid-probe,1000,3,1000,811561,1991606,1000,5672,0.0055,0
C1,listshare,listonly-probe,1000,1,1000,0,1765223,,5704,0.0035,0
C1,listshare,listonly-probe,1000,2,1000,0,1898535,,5704,0.0034,0
C1,listshare,listonly-probe,1000,3,1000,0,2054827,,5628,0.0034,0
C1,listshare,resolve-fe-probe,1000,1,1000,1189765,1862525,1000,5676,0.0060,0
