candidate,features,iters,rep,cell,total_ns,net_ns_per_op,peak_rss_kb
C0r,none,1000000,1,n2,129166910,109.39,5676
C0r,none,1000000,1,n3,140240671,120.46,5676
C0r,none,1000000,1,n4,271854203,252.07,5676
C0r,none,1000000,1,n8,953531538,933.75,5676
C0r,none,1000000,1,null,19779382,0,5676
C0r,none,1000000,2,n2,129009538,109.06,5704
C0r,none,1000000,2,n3,141573898,121.62,5704
C0r,none,1000000,2,n4,271935973,251.99,5704
C0r,none,1000000,2,n8,947565191,927.61,5704
C0r,none,1000000,2,null,19950685,0,5704
C0r,none,1000000,3,n2,131937715,110.92,5636
C0r,none,1000000,3,n3,141190263,120.17,5636
C0r,none,1000000,3,n4,275100783,254.08,5636
C0r,none,1000000,3,n8,967905060,946.88,5636
C0r,none,1000000,3,null,21020258,0,5636
C0r,none,1000000,4,n2,130656749,110.79,5684
C0r,none,1000000,4,n3,142750033,122.89,5684
C0r,none,1000000,4,n4,270570815,250.71,5684
C0r,none,1000000,4,n8,946356594,926.49,5684
C0r,none,1000000,4,null,19864343,0,5684
C0r,none,1000000,5,n2,130676239,110.21,5700
C0r,none,1000000,5,n3,141029520,120.56,5700
C0r,none,1000000,5,n4,273625704,253.15,5700
C0r,none,1000000,5,n8,947975994,927.51,5700
C0r,none,1000000,5,null,20470752,0,5700
C1,listshare,1000000,1,n2,151104438,131.42,2564848
C1,listshare,1000000,1,n3,181942892,162.26,2564848
C1,listshare,1000000,1,n4,446625861,426.94,2564848
C1,listshare,1000000,1,n8,1950297824,1930.61,2564848
C1,listshare,1000000,1,null,19684282,0,2564848
C1,listshare,1000000,2,n2,156077832,134.64,2564832
C1,listshare,1000000,2,n3,178029873,156.59,2564832
C1,listshare,1000000,2,n4,450315217,428.88,2564832
C1,listshare,1000000,2,n8,1968299350,1946.86,2564832
C1,listshare,1000000,2,null,21439743,0,2564832
C1,listshare,1000000,3,n2,152528806,132.46,2564844
C1,listshare,1000000,3,n3,178118053,158.05,2564844
C1,listshare,1000000,3,n4,458186318,438.12,2564844
C1,listshare,1000000,3,n8,1941405423,1921.34,2564844
C1,listshare,1000000,3,null,20068376,0,2564844
C1,listshare,1000000,4,n2,155817978,132.49,2564972
C1,listshare,1000000,4,n3,175773803,152.44,2564972
C1,listshare,1000000,4,n4,449592577,426.26,2564972
C1,listshare,1000000,4,n8,1957563746,1934.23,2564972
C1,listshare,1000000,4,null,23331798,0,2564972
C1,listshare,1000000,5,n2,154669254,134.42,2564932
C1,listshare,1000000,5,n3,179752033,159.50,2564932
C1,listshare,1000000,5,n4,455654263,435.41,2564932
C1,listshare,1000000,5,n8,1951606028,1931.36,2564932
C1,listshare,1000000,5,null,20247668,0,2564932
C1,listshare,2000000,1,n2,309267156,134.42,5127436
C1,listshare,2000000,1,n3,389105969,174.34,5127436
C1,listshare,2000000,1,n4,861697899,410.64,5127436
C1,listshare,2000000,1,n8,3910386533,1934.98,5127436
C1,listshare,2000000,1,null,40419144,0,5127436
NCC,none,1000000,1,n2,118816247,100.16,5680
NCC,none,1000000,1,n3,131746946,113.09,5680
NCC,none,1000000,1,n4,265407639,246.75,5680
NCC,none,1000000,1,n8,927825225,909.17,5680
NCC,none,1000000,1,null,18655375,0,5680
NCC,none,1000000,2,n2,118916161,98.20,5680
NCC,none,1000000,2,n3,132403739,111.69,5680
NCC,none,1000000,2,n4,263961902,243.25,5680
NCC,none,1000000,2,n8,942329298,921.61,5680
NCC,none,1000000,2,null,20716761,0,5680
NCC,none,1000000,3,n2,119706406,100.93,5700
NCC,none,1000000,3,n3,134098504,115.33,5700
NCC,none,1000000,3,n4,267929198,249.16,5700
NCC,none,1000000,3,n8,953807000,935.04,5700
NCC,none,1000000,3,null,18771567,0,5700
NCC,none,1000000,4,n2,117920994,99.18,5704
NCC,none,1000000,4,n3,133967209,115.23,5704
NCC,none,1000000,4,n4,267834843,249.09,5704
NCC,none,1000000,4,n8,938557500,919.82,5704
NCC,none,1000000,4,null,18739888,0,5704
NCC,none,1000000,5,n2,120251347,101.73,5668
NCC,none,1000000,5,n3,135170804,116.65,5668
NCC,none,1000000,5,n4,260099180,241.58,5668
NCC,none,1000000,5,n8,935709014,917.19,5668
NCC,none,1000000,5,null,18516639,0,5668
